Tag;Code_test;Separation;Position;Time;Date_Time;Date;Time2;factor_aleatorio; Second_day;satellites ; Battery_Level;Distance; Accuracy ; Clock_Offset
20844;40;NO;A_VHF;20:00:16;07/03/2020 20:00;07/03/2020;20:00;07/03/20_20:00;72016700;6;4.2;5.511055;2.13E-06;9999999
20844;40;NO;A_VHF;20:30:16;07/03/2020 20:30;07/03/2020;20:30;07/03/20_20:30;73816900;7;4.2;7.070558;4.68E-06;3800
20844;40;NO;A_VHF;21:00:16;07/03/2020 21:00;07/03/2020;21:00;07/03/20_21:00;75616700;9;4.18;10.232388;9.18E-06;3905
20844;40;NO;A_VHF;21:30:16;07/03/2020 21:30;07/03/2020;21:30;07/03/20_21:30;77416885;7;4.18;31.648899;3.42E-06;3845
20844;40;NO;A_VHF;22:00:16;07/03/2020 22:00;07/03/2020;22:00;07/03/20_22:00;79216715;8;4.18;14.136925;3.02E-06;3770
20844;40;NO;A_VHF;22:30:16;07/03/2020 22:30;07/03/2020;22:30;07/03/20_22:30;81016930;8;4.18;3.601191;2.19E-06;3785
20844;40;NO;A_VHF;23:00:16;07/03/2020 23:00;07/03/2020;23:00;07/03/20_23:00;82816775;7;4.18;28.733055;4.23E-06;3860
20844;40;NO;A_VHF;23:30:16;07/03/2020 23:30;07/03/2020;23:30;07/03/20_23:30;84616930;7;4.18;20.749843;5.64E-06;3890
20844;40;NO;A_VHF;0:00:16;08/03/2020 0:00;08/03/2020;0:00;08/03/20_00:00;16770;9;4.18;8.209344;2.23E-06;3865
20844;40;NO;A_VHF;0:30:16;08/03/2020 0:30;08/03/2020;0:30;08/03/20_00:30;1816985;8;4.18;6.069925;3.51E-06;3865
20844;40;NO;A_VHF;1:00:16;08/03/2020 1:00;08/03/2020;1:00;08/03/20_01:00;3616795;9;4.18;18.796262;3.41E-06;3890
20844;40;NO;A_VHF;1:30:17;08/03/2020 1:30;08/03/2020;1:30;08/03/20_01:30;5417010;8;4.16;12.414713;5.26E-06;3915
20844;40;NO;A_VHF;2:00:16;08/03/2020 2:00;08/03/2020;2:00;08/03/20_02:00;7216845;8;4.16;5.564808;2.69E-06;3940
20844;40;NO;A_VHF;2:30:17;08/03/2020 2:30;08/03/2020;2:30;08/03/20_02:30;9017030;9;4.16;13.180557;3.53E-06;3950
20844;40;NO;A_VHF;3:00:16;08/03/2020 3:00;08/03/2020;3:00;08/03/20_03:00;10816870;8;4.16;4.484193;6.53E-06;3955
20844;40;NO;A_VHF;3:30:17;08/03/2020 3:30;08/03/2020;3:30;08/03/20_03:30;12617085;8;4.16;1.302394;2.98E-06;3980
20844;40;NO;A_VHF;4:00:16;08/03/2020 4:00;08/03/2020;4:00;08/03/20_04:00;14416910;8;4.14;7.421204;5.07E-06;4010
20844;40;NO;A_VHF;4:30:17;08/03/2020 4:30;08/03/2020;4:30;08/03/20_04:30;16217130;8;4.16;11.242262;5.22E-06;4035
20844;40;NO;A_VHF;5:00:16;08/03/2020 5:00;08/03/2020;5:00;08/03/20_05:00;18016965;7;4.14;15.091203;5.58E-06;4060
20844;40;NO;A_VHF;5:30:17;08/03/2020 5:30;08/03/2020;5:30;08/03/20_05:30;19817160;7;4.14;6.057471;5.26E-06;4075
20844;40;NO;A_VHF;6:00:16;08/03/2020 6:00;08/03/2020;6:00;08/03/20_06:00;21616985;6;4.14;9.67716;6.14E-06;4080
20844;40;NO;A_VHF;6:30:17;08/03/2020 6:30;08/03/2020;6:30;08/03/20_06:30;23417200;7;4.14;4.227271;5.58E-06;4095
20844;40;NO;A_VHF;7:00:17;08/03/2020 7:00;08/03/2020;7:00;08/03/20_07:00;25217025;7;4.14;8.642087;3.84E-06;4120
20844;40;NO;A_VHF;7:30:17;08/03/2020 7:30;08/03/2020;7:30;08/03/20_07:30;27017210;7;4.14;9.430347;2.11E-06;4130
20844;28;NO;Levantado;21:00:22;09/03/2020 21:00;09/03/2020;21:00;09/03/20_21:00;75622100;7;4.16;5.213332;3.46E-06;9999999
20844;28;NO;Levantado;21:30:22;09/03/2020 21:30;09/03/2020;21:30;09/03/20_21:30;77422310;8;4.16;10.871547;3.43E-06;3205
20844;28;NO;Levantado;22:00:22;09/03/2020 22:00;09/03/2020;22:00;09/03/20_22:00;79222155;7;4.16;18.616282;2.64E-06;3290
20844;28;NO;Levantado;22:30:22;09/03/2020 22:30;09/03/2020;22:30;09/03/20_22:30;81022350;8;4.16;11.00542;4.25E-06;3295
20844;28;NO;Levantado;23:00:22;09/03/2020 23:00;09/03/2020;23:00;09/03/20_23:00;82822155;8;4.16;4.257884;4.71E-06;3255
20844;28;NO;Levantado;23:30:22;09/03/2020 23:30;09/03/2020;23:30;09/03/20_23:30;84622365;8;4.14;8.677268;4.61E-06;3240
20844;28;NO;Levantado;0:00:22;10/03/2020 0:00;10/03/2020;0:00;10/03/20_00:00;22190;8;4.16;10.333934;3.34E-06;3270
20844;28;NO;Levantado;0:30:22;10/03/2020 0:30;10/03/2020;0:30;10/03/20_00:30;1822370;7;4.14;34.806029;3.48E-06;3295
20844;28;NO;Levantado;1:00:22;10/03/2020 1:00;10/03/2020;1:00;10/03/20_01:00;3622235;8;4.14;5.970614;4.28E-06;3315
20844;28;NO;Levantado;1:30:22;10/03/2020 1:30;10/03/2020;1:30;10/03/20_01:30;5422425;8;4.14;17.125328;5.41E-06;3340
20844;28;NO;Levantado;2:00:22;10/03/2020 2:00;10/03/2020;2:00;10/03/20_02:00;7222250;7;4.14;13.2411;3.11E-06;3350
20844;28;NO;Levantado;2:30:22;10/03/2020 2:30;10/03/2020;2:30;10/03/20_02:30;9022470;6;4.14;9.809185;1.00E-06;3365
20844;28;NO;Levantado;3:00:22;10/03/2020 3:00;10/03/2020;3:00;10/03/20_03:00;10822295;7;4.14;10.854148;1.57E-06;3390
20844;28;NO;Levantado;3:30:22;10/03/2020 3:30;10/03/2020;3:30;10/03/20_03:30;12622480;7;4.14;33.646298;2.75E-06;3400
20844;28;NO;Levantado;4:00:22;10/03/2020 4:00;10/03/2020;4:00;10/03/20_04:00;14422320;7;4.14;19.859558;4.04E-06;3405
20844;28;NO;Levantado;4:30:22;10/03/2020 4:30;10/03/2020;4:30;10/03/20_04:30;16222545;6;4.14;8.130665;3.15E-06;3435
20844;28;NO;Levantado;5:00:22;10/03/2020 5:00;10/03/2020;5:00;10/03/20_05:00;18022375;7;4.14;8.061579;2.91E-06;3475
20844;28;NO;Levantado;5:30:22;10/03/2020 5:30;10/03/2020;5:30;10/03/20_05:30;19822595;5;4.14;17.04388;6.47E-07;3505
20844;28;NO;Levantado;6:00:22;10/03/2020 6:00;10/03/2020;6:00;10/03/20_06:00;21622425;6;4.12;9.332918;4.78E-06;3525
20844;28;NO;Levantado;6:30:24;10/03/2020 6:30;10/03/2020;6:30;10/03/20_06:30;23424625;6;4.12;5.654279;1.21E-06;3535
20844;28;NO;Levantado;7:00:22;10/03/2020 7:00;10/03/2020;7:00;10/03/20_07:00;25222435;6;4.12;9.031743;2.29E-06;3535
20844;28;NO;Levantado;7:30:22;10/03/2020 7:30;10/03/2020;7:30;10/03/20_07:30;27022635;7;4.14;10.037212;1.62E-06;3535
20844;28;NO;Levantado;8:00:28;10/03/2020 8:00;10/03/2020;8:00;10/03/20_08:00;28828435;5;4.14;9.026433;8.82E-07;3535
20844;28;NO;Levantado;8:30:22;10/03/2020 8:30;10/03/2020;8:30;10/03/20_08:30;30622625;6;4.14;11.634116;2.57E-06;3530
20844;58;NO;A_VHF;9:00:21;18/03/2020 9:00;18/03/2020;9:00;18/03/20_09:00;32421380;8;4.22;6.582326;6.90E-06;9999999
20844;58;NO;A_VHF;9:30:21;18/03/2020 9:30;18/03/2020;9:30;18/03/20_09:30;34221560;8;4.22;10.653869;5.13E-06;1470
20844;58;NO;A_VHF;10:00:21;18/03/2020 10:00;18/03/2020;10:00;18/03/20_10:00;36021360;7;4.2;9.868748;2.55E-06;1495
